Document Name: AMFV_3.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 31, 2019 14:40:07
Last Modified: Thursday, January 31, 2019 17:13:57
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.41,,1.00e+010,,,,
A2,,Rota,Standard,4.60,,1.00e+010,,,,
A3,,Rota,Standard,11.86,,1.00e+008,,,,
A4,,Rota,Standard,12.41,,1.00e+008,,,,
A5,,Rota,Standard,23.10,,1.00e+006,,,,
A6,,Rota,Standard,23.49,,1.00e+006,,,,
A7,,Rota,Standard,30.26,,10000.00,,,,
A8,,Rota,Standard,30.52,,10000.00,,,,
A9,,Rota,Standard,41.83,,10000.00,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_85,Rota,Unknown,30.65,0.092,40903.47,42160.51,1777.722,,
B2,12_85,Rota,Unknown,30.52,0.092,43417.55,42160.51,1777.722,,
B3,12_86,Rota,Unknown,36.49,1.153,2844.55,4414.96,2220.896,,
B4,12_86,Rota,Unknown,34.86,1.153,5985.37,4414.96,2220.896,,
B5,12_87,Rota,Unknown,31.68,0.437,25605.15,22462.76,4444.006,,
B6,12_87,Rota,Unknown,32.29,0.437,19320.38,22462.76,4444.006,,
B7,12_88,Rota,Unknown,32.13,0.311,20783.53,23093.07,3266.179,,
B8,12_88,Rota,Unknown,31.69,0.311,25402.60,23093.07,3266.179,,
B9,12_89,Rota,Unknown,31.16,0.091,32419.54,33403.19,1391.096,,
B10,12_89,Rota,Unknown,31.03,0.091,34386.84,33403.19,1391.096,,
B11,12_90,Rota,Unknown,33.63,0.024,10518.35,10437.08,114.935,,
B12,12_90,Rota,Unknown,33.66,0.024,10355.80,10437.08,114.935,,
C1,12_91,Rota,Unknown,30.21,0.018,50011.84,50311.36,423.579,,
C2,12_91,Rota,Unknown,30.18,0.018,50610.88,50311.36,423.579,,
C3,12_92,Rota,Unknown,28.05,0.151,134094.31,140971.61,9725.967,,
C4,12_92,Rota,Unknown,27.83,0.151,147848.91,140971.61,9725.967,,
C5,12_93,Rota,Unknown,28.07,0.047,132617.78,130619.93,2825.389,,
C6,12_93,Rota,Unknown,28.14,0.047,128622.08,130619.93,2825.389,,
C7,12_94,Rota,Unknown,30.75,0.029,39109.14,38742.47,518.541,,
C8,12_94,Rota,Unknown,30.79,0.029,38375.81,38742.47,518.541,,
C9,12_95,Rota,Unknown,30.58,0.022,42183.66,42484.32,425.192,,
C10,12_95,Rota,Unknown,30.55,0.022,42784.97,42484.32,425.192,,
C11,12_96,Rota,Unknown,29.10,0.030,83061.28,82276.77,1109.467,,
C12,12_96,Rota,Unknown,29.14,0.030,81492.26,82276.77,1109.467,,
D1,12_97,Rota,Unknown,29.17,0.000,80201.05,80209.59,12.087,,
D2,12_97,Rota,Unknown,29.17,0.000,80218.14,80209.59,12.087,,
D3,12_98,Rota,Unknown,28.12,0.022,129903.38,130848.79,1337.012,,
D4,12_98,Rota,Unknown,28.08,0.022,131794.20,130848.79,1337.012,,
D5,12_99,Rota,Unknown,29.78,0.099,60742.19,62737.09,2821.221,,
D6,12_99,Rota,Unknown,29.64,0.099,64732.00,62737.09,2821.221,,
D7,12_100,Rota,Unknown,29.48,0.093,69635.20,71794.55,3053.784,,
D8,12_100,Rota,Unknown,29.35,0.093,73953.90,71794.55,3053.784,,
D9,12_101,Rota,Unknown,30.80,0.144,38173.18,40035.40,2633.583,,
D10,12_101,Rota,Unknown,30.60,0.144,41897.63,40035.40,2633.583,,
D11,12_102,Rota,Unknown,25.41,0.076,446040.41,457192.34,15771.221,,
D12,12_102,Rota,Unknown,25.31,0.076,468344.28,457192.34,15771.221,,
E1,12_103,Rota,Unknown,31.97,0.126,22408.01,21534.86,1234.811,,
E2,12_103,Rota,Unknown,32.15,0.126,20661.72,21534.86,1234.811,,
E3,12_104,Rota,Unknown,38.53,1.257,1122.48,810.64,441.002,,
E4,12_104,Rota,Unknown,40.31,1.257,498.81,810.64,441.002,,
E5,12_105,Rota,Unknown,30.48,0.069,44262.05,43293.71,1369.428,,
