Document Name: vdv1_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, February 14, 2019 15:34:41
Last Modified: Thursday, February 14, 2019 16:30:48
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,7.15,,1.00e+010,,,,
A2,,Rota,Standard,7.04,,1.00e+010,,,,
A3,,Rota,Standard,14.65,,1.00e+008,,,,
A4,,Rota,Standard,14.73,,1.00e+008,,,,
A5,,Rota,Standard,22.01,,1.00e+006,,,,
A6,,Rota,Standard,22.30,,1.00e+006,,,,
A7,,Rota,Standard,29.74,,10000.00,,,,
A8,,Rota,Standard,29.57,,10000.00,,,,
A9,,Rota,Standard,34.99,,100.00,,,,
A10,,Rota,Standard,34.87,,100.00,,,,
A11,,Rota,NTC,35.51,,,,,,
A12,,Rota,NTC,35.49,,,,,,
B1,12_1,Rota,Unknown,28.92,0.500,9036.43,7366.80,2361.202,,
B2,12_1,Rota,Unknown,29.63,0.500,5697.18,7366.80,2361.202,,
B3,12_2,Rota,Unknown,19.32,0.738,4.74e+006,3.57e+006,1.65e+006,,
B4,12_2,Rota,Unknown,20.36,0.738,2.40e+006,3.57e+006,1.65e+006,,
B5,12_3,Rota,Unknown,28.59,0.146,11261.05,10550.29,1005.161,,
B6,12_3,Rota,Unknown,28.79,0.146,9839.54,10550.29,1005.161,,
B7,12_4,Rota,Unknown,23.97,0.302,228532.78,265281.58,51970.647,,
B8,12_4,Rota,Unknown,23.54,0.302,302030.38,265281.58,51970.647,,
B9,12_5,Rota,Unknown,24.91,0.253,123823.05,140083.07,22995.129,,
B10,12_5,Rota,Unknown,24.55,0.253,156343.08,140083.07,22995.129,,
B11,12_6,Rota,Unknown,15.71,0.263,4.98e+007,4.44e+007,7.58e+006,,
B12,12_6,Rota,Unknown,16.08,0.263,3.90e+007,4.44e+007,7.58e+006,,
C1,12_7,Rota,Unknown,29.17,0.135,7671.56,8178.13,716.398,,
C2,12_7,Rota,Unknown,28.98,0.135,8684.70,8178.13,716.398,,
C3,12_8,Rota,Unknown,26.79,0.240,36271.37,32666.12,5098.584,,
C4,12_8,Rota,Unknown,27.13,0.240,29060.88,32666.12,5098.584,,
C5,12_9,Rota,Unknown,9.71,0.725,2.49e+009,1.88e+009,8.57e+008,,
C6,12_9,Rota,Unknown,10.74,0.725,1.27e+009,1.88e+009,8.57e+008,,
C7,12_10,Rota,Unknown,20.63,0.034,2.02e+006,2.05e+006,44925.322,,
C8,12_10,Rota,Unknown,20.58,0.034,2.08e+006,2.05e+006,44925.322,,
C9,12_11,Rota,Unknown,28.48,0.328,12073.84,14205.31,3014.355,,
C10,12_11,Rota,Unknown,28.01,0.328,16336.78,14205.31,3014.355,,
C11,12_12,Rota,Unknown,29.84,0.257,4978.49,5643.91,941.040,,
C12,12_12,Rota,Unknown,29.47,0.257,6309.32,5643.91,941.040,,
D1,12_13,Rota,Unknown,21.39,0.191,1.23e+006,1.13e+006,140141.847,,
D2,12_13,Rota,Unknown,21.66,0.191,1.03e+006,1.13e+006,140141.847,,
D3,12_14,Rota,Unknown,17.62,0.126,1.44e+007,1.36e+007,1.12e+006,,
D4,12_14,Rota,Unknown,17.80,0.126,1.28e+007,1.36e+007,1.12e+006,,
D5,12_15,Rota,Unknown,30.70,0.488,2830.87,2317.94,725.391,,
D6,12_15,Rota,Unknown,31.39,0.488,1805.01,2317.94,725.391,,
D7,12_16,Rota,Unknown,30.59,0.223,3052.84,2769.67,400.461,,
D8,12_16,Rota,Unknown,30.90,0.223,2486.50,2769.67,400.461,,
D9,12_17,Rota,Unknown,28.98,0.008,8720.07,8686.07,48.077,,
D10,12_17,Rota,Unknown,28.99,0.008,8652.07,8686.07,48.077,,
D11,12_18,Rota,Unknown,32.23,0.284,1048.04,1205.14,222.178,,
D12,12_18,Rota,Unknown,31.82,0.284,1362.25,1205.14,222.178,,
E1,12_19,Rota,Unknown,31.28,0.163,1940.41,1805.39,190.953,,
E2,12_19,Rota,Unknown,31.51,0.163,1670.36,1805.39,190.953,,
E3,12_20,Rota,Unknown,12.67,0.094,3.61e+008,3.77e+008,2.31e+007,,
E4,12_20,Rota,Unknown,12.54,0.094,3.93e+008,3.77e+008,2.31e+007,,
E5,12_21,Rota,Unknown,32.65,0.285,793.10,701.46,129.599,,
E6,12_21,Rota,Unknown,33.06,0.285,609.82,701.46,129.599,,
E7,12_22,Rota,Unknown,29.05,0.384,8291.42,10055.36,2494.586,,
E8,12_22,Rota,Unknown,28.51,0.384,11819.29,10055.36,2494.586,,
E9,12_23,Rota,Unknown,27.72,0.040,19848.35,20225.12,532.842,,
E10,12_23,Rota,Unknown,27.66,0.040,20601.90,20225.12,532.842,,
E11,12_24,Rota,Unknown,31.29,0.934,1928.06,3245.55,1863.217,,
E12,12_24,Rota,Unknown,29.97,0.934,4563.05,3245.55,1863.217,,
F1,12_25,Rota,Unknown,23.31,0.015,351447.97,348976.98,3494.500,,
F2,12_25,Rota,Unknown,23.33,0.015,346506.00,348976.98,3494.500,,
F3,12_26,Rota,Unknown,10.99,0.008,1.08e+009,1.08e+009,5.36e+006,,
F4,12_26,Rota,Unknown,11.00,0.008,1.07e+009,1.08e+009,5.36e+006,,
F5,12_27,Rota,Unknown,34.14,0.361,300.47,359.87,84.002,,
F6,12_27,Rota,Unknown,33.63,0.361,419.26,359.87,84.002,,
F7,12_28,Rota,Unknown,32.80,0.348,722.50,623.33,140.248,,
F8,12_28,Rota,Unknown,33.29,0.348,524.16,623.33,140.248,,
F9,12_29,Rota,Unknown,28.10,0.026,15479.75,15293.67,263.149,,
F10,12_29,Rota,Unknown,28.13,0.026,15107.60,15293.67,263.149,,
F11,12_30,Rota,Unknown,22.40,0.183,634073.50,692477.66,82595.950,,
F12,12_30,Rota,Unknown,22.14,0.183,750881.81,692477.66,82595.950,,
G1,12_31,Rota,Unknown,25.18,0.041,103929.83,102018.90,2702.457,,
G2,12_31,Rota,Unknown,25.23,0.041,100107.98,102018.90,2702.457,,
G3,12_32,Rota,Unknown,19.26,0.060,4.92e+006,4.79e+006,187816.046,,
G4,12_32,Rota,Unknown,19.34,0.060,4.66e+006,4.79e+006,187816.046,,
G5,12_33,Rota,Unknown,22.92,4.052,451474.09,289968.33,247972.767,,
G6,12_33,Rota,Unknown,23.06,4.052,413977.28,289968.33,247972.767,,
G7,12_33,Rota,Unknown,30.01,4.052,4453.61,289968.33,247972.767,,
G8,12_34,Rota,Unknown,29.59,,5855.64,,,,
G9,12_35,Rota,Unknown,24.36,0.270,176848.75,157391.60,27516.563,,
